resource_id,key,value
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,team,devops
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,cost-allocation,direct
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,chargeback-entity,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-api-test-v-ostq,showback-category,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,name,CloudAppSaaSBackend-VirtualMachines
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,project,CloudAppSaaSBackend
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,business-unit,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,environment,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,cost-center,SoftwareSolutions-7941
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,use-case,Software Solutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,data-classification,confidential
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,department,operations
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,owner,sre-team@example.com
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,compliance-status,exempted
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,compliance-sox,in-scope
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,compliance-pci,in-scope
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,auto-scaling,enabled
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,iac,false
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,optimization-priority,cost
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,image,ubuntu-20.04
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,service-tier,virtualmachines-premium
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,cost-allocation,direct
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,chargeback-entity,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,showback-category,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,name,CloudAppSaaSBackend-VirtualMachines
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,project,CloudAppSaaSBackend
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,business-unit,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,environment,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,cost-center,SoftwareSolutions-7618
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,use-case,Software Solutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,data-classification,internal
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,version,stable
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,owner,cloud-admin@example.com
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,compliance-status,non-compliant
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,compliance-gdpr,out-of-scope
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,deployment-group,blue
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,allow-spot,true
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,budget-alert,medium
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,patch-group,dev
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,vm-size,Standard_B1ms
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,image,rhel-8
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,auto-shutdown,weekends
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,service-tier,virtualmachines-standard
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,cost-allocation,direct
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,chargeback-entity,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-batch-test-b-ostq,showback-category,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,name,CloudAppSaaSBackend-VirtualMachines
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,project,CloudAppSaaSBackend
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,business-unit,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,environment,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,cost-center,SoftwareSolutions-9046
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,use-case,Software Solutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,backup-frequency,monthly
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,requestor,project-manager@example.com
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,compliance-status,compliant
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,security-level,low
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,created-by,api
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,budget-alert,medium
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,scheduled-downtime,custom
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,vm-size,Standard_D2s_v3
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,auto-shutdown,nights
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,service-tier,virtualmachines-basic
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,team,sre
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,cost-allocation,direct
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,chargeback-entity,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,showback-category,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,name,CloudAppSaaSBackend-VirtualMachines
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,project,CloudAppSaaSBackend
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,business-unit,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,environment,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,cost-center,SoftwareSolutions-7024
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,use-case,Software Solutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,backup-frequency,weekly
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,security-level,critical
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,compliance-status,under-review
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,compliance-pci,out-of-scope
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,managed-by,sre
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,created-by,portal
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,scheduled-downtime,nights
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,rightsizing,optimized
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,allow-spot,true
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,image,ubuntu-20.04
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,cost-allocation,direct
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,chargeback-entity,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-db-test-b-ostq,showback-category,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,name,CloudAppSaaSBackend-VirtualMachines
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,project,CloudAppSaaSBackend
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,business-unit,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,environment,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,cost-center,SoftwareSolutions-3520
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,use-case,Software Solutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,backup-frequency,monthly
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,compliance-sox,out-of-scope
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,managed-by,devops
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,iac,true
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,optimization-priority,availability
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,budget-alert,exempt
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,vm-size,Standard_F2s_v2
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,image,centos-7
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,patch-group,group1
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,service-tier,virtualmachines-standard
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,team,analytics
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,cost-allocation,direct
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,chargeback-entity,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.Compute/virtualMachines/clo-web-test-v-ostq,showback-category,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,name,CloudAppSaaSBackend-ContainerInstances
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,project,CloudAppSaaSBackend
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,business-unit,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,environment,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,cost-center,SoftwareSolutions-5358
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,use-case,Software Solutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,data-classification,internal
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,requestor,project-manager@example.com
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,compliance-status,compliant
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,security-level,medium
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,iac,false
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,scheduled-downtime,nights
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,rightsizing,pending-review
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,optimization-priority,availability
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,team,data-engineering
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,cost-allocation,direct
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,chargeback-entity,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,showback-category,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,name,CloudAppSaaSBackend-ContainerInstances
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,project,CloudAppSaaSBackend
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,business-unit,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,environment,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,cost-center,SoftwareSolutions-4239
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,use-case,Software Solutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,backup-frequency,daily
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,data-classification,public
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,owner,sre-team@example.com
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,requestor,team-devops@example.com
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,security-level,critical
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,deployment-group,experiment
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,managed-by,sre
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,scheduled-downtime,never
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,allow-spot,false
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,budget-alert,high
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,service-tier,containerinstances-premium
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,cost-allocation,direct
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,chargeback-entity,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-ci-lv6j,showback-category,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,name,CloudAppSaaSBackend-ContainerInstances
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,project,CloudAppSaaSBackend
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,business-unit,SoftwareSolutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,environment,production
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,cost-center,SoftwareSolutions-8348
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,use-case,Software Solutions
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,auto-shutdown,nights
/subscriptions/00000000-0000-0000-0000-000444400005/resourceGroups/clo-rg/providers/Microsoft.ContainerInstance/containerGroups/clo-container-lv6j,department,engineering
