resource_name,key,value
mi-iot-g1c9,project,SmartFactoryIoTPlatform
mi-iot-g1c9,business-unit,Manufacturing
mi-iot-g1c9,environment,non-production
mi-iot-g1c9,cost-center,Manufacturing-5575
mi-iot-g1c9,use-case,Enterprise Integration
mi-iot-g1c9,auto-shutdown,false
mi-iot-g1c9,data-classification,internal
mi-iot-g1c9,compliance-pci,out-of-scope
mi-iot-g1c9,compliance-status,compliant
mi-iot-g1c9,deployment-group,experiment
mi-iot-g1c9,managed-by,manual
mi-iot-g1c9,service-tier,iot-standard
mi-iot-g1c9,team,devops
mi-iot-g1c9,cost-allocation,direct
mi-iot-g1c9,chargeback-entity,Manufacturing
mi-iot-g1c9,showback-category,non-production
mi-archive-gjl90pwr,name,SmartFactoryIoTPlatform-CloudStorage
mi-archive-gjl90pwr,project,SmartFactoryIoTPlatform
mi-archive-gjl90pwr,business-unit,Manufacturing
mi-archive-gjl90pwr,environment,non-production
mi-archive-gjl90pwr,cost-center,Manufacturing-4240
mi-archive-gjl90pwr,use-case,Enterprise Integration
mi-archive-gjl90pwr,version,3-0
mi-archive-gjl90pwr,data-classification,confidential
mi-archive-gjl90pwr,requestor,john.doe@example.com
mi-archive-gjl90pwr,compliance-gdpr,out-of-scope
mi-archive-gjl90pwr,compliance-sox,in-scope
mi-archive-gjl90pwr,managed-by,devops
mi-archive-gjl90pwr,public-access,allowed-read-only
mi-archive-gjl90pwr,encryption,google-managed
mi-archive-gjl90pwr,lifecycle-policy,1-year-deletion
mi-archive-gjl90pwr,service-tier,cloudstorage-standard
mi-archive-gjl90pwr,team,security
mi-archive-gjl90pwr,cost-allocation,shared
mi-archive-gjl90pwr,allocation-method,direct
mi-archive-gjl90pwr,chargeback-entity,Manufacturing
mi-archive-gjl90pwr,showback-category,non-production
mi-media-gjl90pwr,name,SmartFactoryIoTPlatform-CloudStorage
mi-media-gjl90pwr,project,SmartFactoryIoTPlatform
mi-media-gjl90pwr,business-unit,Manufacturing
mi-media-gjl90pwr,environment,non-production
mi-media-gjl90pwr,cost-center,Manufacturing-5642
mi-media-gjl90pwr,use-case,Enterprise Integration
mi-media-gjl90pwr,data-classification,confidential
mi-media-gjl90pwr,department,sales
mi-media-gjl90pwr,requestor,project-manager@example.com
mi-media-gjl90pwr,compliance-status,exempted
mi-media-gjl90pwr,compliance-hipaa,required
mi-media-gjl90pwr,deployment-group,canary
mi-media-gjl90pwr,iac,false
mi-media-gjl90pwr,optimization-priority,balanced
mi-media-gjl90pwr,encryption,google-managed
mi-media-gjl90pwr,storage-class,archive
mi-media-gjl90pwr,public-access,controlled
mi-media-gjl90pwr,lifecycle-policy,1-year-deletion
mi-media-gjl90pwr,service-tier,cloudstorage-basic
mi-media-gjl90pwr,team,application
mi-media-gjl90pwr,cost-allocation,shared
mi-media-gjl90pwr,allocation-method,direct
mi-media-gjl90pwr,chargeback-entity,Manufacturing
mi-media-gjl90pwr,showback-category,non-production
mi-media-gjl90pwr,name,SmartFactoryIoTPlatform-CloudStorage
mi-media-gjl90pwr,project,SmartFactoryIoTPlatform
mi-media-gjl90pwr,business-unit,Manufacturing
mi-media-gjl90pwr,environment,non-production
mi-media-gjl90pwr,cost-center,Manufacturing-3851
mi-media-gjl90pwr,use-case,Enterprise Integration
mi-media-gjl90pwr,backup-frequency,daily
mi-media-gjl90pwr,auto-shutdown,nights
mi-media-gjl90pwr,owner,cloud-admin@example.com
mi-media-gjl90pwr,security-level,low
mi-media-gjl90pwr,deployment-group,main
mi-media-gjl90pwr,allow-spot,true
mi-media-gjl90pwr,budget-alert,high
mi-media-gjl90pwr,encryption,customer-managed
mi-media-gjl90pwr,lifecycle-policy,90-day-archive
mi-media-gjl90pwr,service-tier,cloudstorage-basic
mi-media-gjl90pwr,team,sre
mi-media-gjl90pwr,cost-allocation,shared
mi-media-gjl90pwr,allocation-method,direct
mi-media-gjl90pwr,chargeback-entity,Manufacturing
mi-media-gjl90pwr,showback-category,non-production
mi_metrics_un4m,name,SmartFactoryIoTPlatform-BigQuery
mi_metrics_un4m,project,SmartFactoryIoTPlatform
mi_metrics_un4m,business-unit,Manufacturing
mi_metrics_un4m,environment,non-production
mi_metrics_un4m,cost-center,Manufacturing-1667
mi_metrics_un4m,use-case,Enterprise Integration
mi_metrics_un4m,data-classification,confidential
mi_metrics_un4m,department,engineering
mi_metrics_un4m,managed-by,platform
mi_metrics_un4m,cost-allocation,shared
mi_metrics_un4m,allocation-method,direct
mi_metrics_un4m,chargeback-entity,Manufacturing
mi_metrics_un4m,showback-category,non-production
mi_analytics_un4m,name,SmartFactoryIoTPlatform-BigQuery
mi_analytics_un4m,project,SmartFactoryIoTPlatform
mi_analytics_un4m,business-unit,Manufacturing
mi_analytics_un4m,environment,non-production
mi_analytics_un4m,cost-center,Manufacturing-7446
mi_analytics_un4m,use-case,Enterprise Integration
mi_analytics_un4m,backup-frequency,monthly
mi_analytics_un4m,auto-shutdown,weekends
mi_analytics_un4m,deployment-group,green
mi_analytics_un4m,iac,false
mi_analytics_un4m,team,devops
mi_analytics_un4m,cost-allocation,shared
mi_analytics_un4m,allocation-method,direct
mi_analytics_un4m,chargeback-entity,Manufacturing
mi_analytics_un4m,showback-category,non-production
mi_analytics_un4m,name,SmartFactoryIoTPlatform-BigQuery
mi_analytics_un4m,project,SmartFactoryIoTPlatform
mi_analytics_un4m,business-unit,Manufacturing
mi_analytics_un4m,environment,non-production
mi_analytics_un4m,cost-center,Manufacturing-2529
mi_analytics_un4m,use-case,Enterprise Integration
mi_analytics_un4m,data-classification,restricted
mi_analytics_un4m,department,research
mi_analytics_un4m,created-by,deployment-manager
mi_analytics_un4m,auto-scaling,enabled
mi_analytics_un4m,rightsizing,oversized
mi_analytics_un4m,service-tier,bigquery-standard
mi_analytics_un4m,team,devops
mi_analytics_un4m,cost-allocation,shared
mi_analytics_un4m,allocation-method,direct
mi_analytics_un4m,chargeback-entity,Manufacturing
mi_analytics_un4m,showback-category,non-production
mi-ver-b708,name,SmartFactoryIoTPlatform-VertexAI
mi-ver-b708,project,SmartFactoryIoTPlatform
mi-ver-b708,business-unit,Manufacturing
mi-ver-b708,environment,non-production
mi-ver-b708,cost-center,Manufacturing-6641
mi-ver-b708,use-case,Enterprise Integration
mi-ver-b708,data-classification,restricted
mi-ver-b708,backup-frequency,monthly
mi-ver-b708,requestor,jane.smith@example.com
mi-ver-b708,compliance-status,under-review
mi-ver-b708,managed-by,platform
mi-ver-b708,created-by,api
mi-ver-b708,scheduled-downtime,never
mi-ver-b708,rightsizing,oversized
mi-ver-b708,service-tier,vertexai-enterprise
mi-ver-b708,team,security
mi-ver-b708,cost-allocation,direct
mi-ver-b708,chargeback-entity,Manufacturing
mi-ver-b708,showback-category,non-production
mi-ver-b708,name,SmartFactoryIoTPlatform-VertexAI
mi-ver-b708,project,SmartFactoryIoTPlatform
mi-ver-b708,business-unit,Manufacturing
mi-ver-b708,environment,non-production
mi-ver-b708,cost-center,Manufacturing-2379
mi-ver-b708,use-case,Enterprise Integration
mi-ver-b708,requestor,product-team@example.com
mi-ver-b708,compliance-sox,in-scope
mi-ver-b708,created-by,ansible
mi-ver-b708,auto-scaling,disabled
mi-ver-b708,optimization-priority,performance
mi-ver-b708,service-tier,vertexai-basic
mi-ver-b708,cost-allocation,direct
mi-ver-b708,chargeback-entity,Manufacturing
mi-ver-b708,showback-category,non-production
mi-ver-b708,name,SmartFactoryIoTPlatform-VertexAI
mi-ver-b708,project,SmartFactoryIoTPlatform
mi-ver-b708,business-unit,Manufacturing
mi-ver-b708,environment,non-production
mi-ver-b708,cost-center,Manufacturing-9171
mi-ver-b708,use-case,Enterprise Integration
mi-ver-b708,data-classification,restricted
mi-ver-b708,requestor,jane.smith@example.com
mi-ver-b708,compliance-gdpr,out-of-scope
mi-ver-b708,iac,false
mi-ver-b708,managed-by,cloudops
mi-ver-b708,scheduled-downtime,never
mi-ver-b708,budget-alert,low
mi-ver-b708,service-tier,vertexai-basic
mi-ver-b708,cost-allocation,direct
mi-ver-b708,chargeback-entity,Manufacturing
mi-ver-b708,showback-category,non-production
mi-app-test-8-yv0x,name,SmartFactoryIoTPlatform-ComputeEngine
mi-app-test-8-yv0x,project,SmartFactoryIoTPlatform
mi-app-test-8-yv0x,business-unit,Manufacturing
mi-app-test-8-yv0x,environment,non-production
mi-app-test-8-yv0x,cost-center,Manufacturing-6355
mi-app-test-8-yv0x,use-case,Enterprise Integration
mi-app-test-8-yv0x,auto-shutdown,true
mi-app-test-8-yv0x,data-classification,internal
mi-app-test-8-yv0x,security-level,high
mi-app-test-8-yv0x,deployment-group,blue
mi-app-test-8-yv0x,budget-alert,high
mi-app-test-8-yv0x,rightsizing,optimized
mi-app-test-8-yv0x,machine-type,c2-standard-8
mi-app-test-8-yv0x,image,debian-10
mi-app-test-8-yv0x,patch-group,dev
mi-app-test-8-yv0x,service-tier,computeengine-premium
mi-app-test-8-yv0x,team,infrastructure
mi-app-test-8-yv0x,cost-allocation,direct
mi-app-test-8-yv0x,chargeback-entity,Manufacturing
mi-app-test-8-yv0x,showback-category,non-production
mi-test-test-8-yv0x,name,SmartFactoryIoTPlatform-ComputeEngine
mi-test-test-8-yv0x,project,SmartFactoryIoTPlatform
mi-test-test-8-yv0x,business-unit,Manufacturing
mi-test-test-8-yv0x,environment,non-production
mi-test-test-8-yv0x,cost-center,Manufacturing-8264
mi-test-test-8-yv0x,use-case,Enterprise Integration
mi-test-test-8-yv0x,auto-shutdown,nights
mi-test-test-8-yv0x,data-classification,internal
mi-test-test-8-yv0x,owner,jane.smith@example.com
mi-test-test-8-yv0x,compliance-pci,in-scope
mi-test-test-8-yv0x,managed-by,platform
mi-test-test-8-yv0x,iac,true
mi-test-test-8-yv0x,optimization-priority,performance
mi-test-test-8-yv0x,patch-group,dev
mi-test-test-8-yv0x,image,debian-10
mi-test-test-8-yv0x,service-tier,computeengine-enterprise
mi-test-test-8-yv0x,team,security
mi-test-test-8-yv0x,cost-allocation,direct
mi-test-test-8-yv0x,chargeback-entity,Manufacturing
mi-test-test-8-yv0x,showback-category,non-production
mi-app-test-4-yv0x,name,SmartFactoryIoTPlatform-ComputeEngine
mi-app-test-4-yv0x,project,SmartFactoryIoTPlatform
mi-app-test-4-yv0x,business-unit,Manufacturing
mi-app-test-4-yv0x,environment,non-production
mi-app-test-4-yv0x,cost-center,Manufacturing-3412
mi-app-test-4-yv0x,use-case,Enterprise Integration
mi-app-test-4-yv0x,department,finance
mi-app-test-4-yv0x,owner,sre-team@example.com
mi-app-test-4-yv0x,compliance-hipaa,required
mi-app-test-4-yv0x,managed-by,platform
mi-app-test-4-yv0x,created-by,deployment-manager
mi-app-test-4-yv0x,machine-type,c2-standard-4
mi-app-test-4-yv0x,image,rhel-8
mi-app-test-4-yv0x,service-tier,computeengine-basic
mi-app-test-4-yv0x,cost-allocation,direct
mi-app-test-4-yv0x,chargeback-entity,Manufacturing
mi-app-test-4-yv0x,showback-category,non-production
mi-process-func-pq70,name,SmartFactoryIoTPlatform-CloudFunctions
mi-process-func-pq70,project,SmartFactoryIoTPlatform
mi-process-func-pq70,business-unit,Manufacturing
mi-process-func-pq70,environment,non-production
mi-process-func-pq70,cost-center,Manufacturing-6203
mi-process-func-pq70,use-case,Enterprise Integration
mi-process-func-pq70,version,stable
mi-process-func-pq70,requestor,john.doe@example.com
mi-process-func-pq70,compliance-sox,in-scope
mi-process-func-pq70,managed-by,cloudops
mi-process-func-pq70,event-trigger,http
mi-process-func-pq70,memory-size,2048
mi-process-func-pq70,runtime,php81
mi-process-func-pq70,service-tier,cloudfunctions-premium
mi-process-func-pq70,team,devops
mi-process-func-pq70,cost-allocation,direct
mi-process-func-pq70,chargeback-entity,Manufacturing
mi-process-func-pq70,showback-category,non-production
mi-auth-func-pq70,name,SmartFactoryIoTPlatform-CloudFunctions
mi-auth-func-pq70,project,SmartFactoryIoTPlatform
mi-auth-func-pq70,business-unit,Manufacturing
mi-auth-func-pq70,environment,non-production
mi-auth-func-pq70,cost-center,Manufacturing-1075
mi-auth-func-pq70,use-case,Enterprise Integration
mi-auth-func-pq70,data-classification,internal
mi-auth-func-pq70,deployment-group,blue
mi-auth-func-pq70,budget-alert,exempt
mi-auth-func-pq70,allow-spot,false
mi-auth-func-pq70,runtime,java17
mi-auth-func-pq70,timeout,300
mi-auth-func-pq70,service-tier,cloudfunctions-enterprise
mi-auth-func-pq70,cost-allocation,direct
mi-auth-func-pq70,chargeback-entity,Manufacturing
mi-auth-func-pq70,showback-category,non-production
mi-api-func-pq70,name,SmartFactoryIoTPlatform-CloudFunctions
mi-api-func-pq70,project,SmartFactoryIoTPlatform
mi-api-func-pq70,business-unit,Manufacturing
mi-api-func-pq70,environment,non-production
mi-api-func-pq70,cost-center,Manufacturing-9394
mi-api-func-pq70,use-case,Enterprise Integration
mi-api-func-pq70,backup-frequency,weekly
mi-api-func-pq70,version,beta
mi-api-func-pq70,owner,sre-team@example.com
mi-api-func-pq70,department,finance
mi-api-func-pq70,created-by,deployment-manager
mi-api-func-pq70,scheduled-downtime,never
mi-api-func-pq70,event-trigger,scheduler
mi-api-func-pq70,runtime,java17
mi-api-func-pq70,timeout,60
mi-api-func-pq70,memory-size,512
mi-api-func-pq70,service-tier,cloudfunctions-standard
mi-api-func-pq70,team,application
mi-api-func-pq70,cost-allocation,direct
mi-api-func-pq70,chargeback-entity,Manufacturing
mi-api-func-pq70,showback-category,non-production
