resourceId,key,value
elasticsearch-resource-9109e36f,BudgetAlert,low
elasticsearch-resource-9109e36f,ScheduledDowntime,custom
elasticsearch-resource-9109e36f,Rightsizing,optimized
elasticsearch-resource-9109e36f,ServiceTier,elasticsearch-basic
elasticsearch-resource-9109e36f,Team,SRE
elasticsearch-resource-9109e36f,CostAllocation,Direct
elasticsearch-resource-9109e36f,ChargebackEntity,Pharma
elasticsearch-resource-9109e36f,ShowbackCategory,Production
elasticsearch-resource-735d42b2,Name,HealthcareDataInteroperabilityHub-ElasticSearch
elasticsearch-resource-735d42b2,Project,HealthcareDataInteroperabilityHub
elasticsearch-resource-735d42b2,BusinessUnit,Pharma
elasticsearch-resource-735d42b2,Environment,Production
elasticsearch-resource-735d42b2,CostCenter,Pharma-9889
elasticsearch-resource-735d42b2,UseCase,Enterprise Integration
elasticsearch-resource-735d42b2,Version,latest
elasticsearch-resource-735d42b2,BackupFrequency,monthly
elasticsearch-resource-735d42b2,Compliance:SOX,in-scope
elasticsearch-resource-735d42b2,IaC,false
elasticsearch-resource-735d42b2,ScheduledDowntime,nights
elasticsearch-resource-735d42b2,AllowSpotInstance,true
elasticsearch-resource-735d42b2,Rightsizing,oversized
elasticsearch-resource-735d42b2,ServiceTier,elasticsearch-enterprise
elasticsearch-resource-735d42b2,Team,Platform
elasticsearch-resource-735d42b2,CostAllocation,Direct
elasticsearch-resource-735d42b2,ChargebackEntity,Pharma
elasticsearch-resource-735d42b2,ShowbackCategory,Production
elasticsearch-resource-556c3e60,Name,HealthcareDataInteroperabilityHub-ElasticSearch
elasticsearch-resource-556c3e60,Project,HealthcareDataInteroperabilityHub
elasticsearch-resource-556c3e60,BusinessUnit,Pharma
elasticsearch-resource-556c3e60,Environment,Production
elasticsearch-resource-556c3e60,CostCenter,Pharma-2924
elasticsearch-resource-556c3e60,UseCase,Enterprise Integration
elasticsearch-resource-556c3e60,DataClassification,restricted
elasticsearch-resource-556c3e60,Version,latest
elasticsearch-resource-556c3e60,AutoShutdown,false
elasticsearch-resource-556c3e60,Department,Sales
elasticsearch-resource-556c3e60,Compliance:PCI,in-scope
elasticsearch-resource-556c3e60,Compliance:GDPR,in-scope
elasticsearch-resource-556c3e60,CreatedBy,Console
elasticsearch-resource-556c3e60,IaC,false
elasticsearch-resource-556c3e60,Rightsizing,oversized
elasticsearch-resource-556c3e60,BudgetAlert,high
elasticsearch-resource-556c3e60,AllowSpotInstance,false
elasticsearch-resource-556c3e60,Team,Security
elasticsearch-resource-556c3e60,CostAllocation,Direct
elasticsearch-resource-556c3e60,ChargebackEntity,Pharma
elasticsearch-resource-556c3e60,ShowbackCategory,Production
lambda-function-d0b69a1389f5,Name,HealthcareDataInteroperabilityHub-Lambda
lambda-function-d0b69a1389f5,Project,HealthcareDataInteroperabilityHub
lambda-function-d0b69a1389f5,BusinessUnit,Pharma
lambda-function-d0b69a1389f5,Environment,Production
lambda-function-d0b69a1389f5,CostCenter,Pharma-6352
lambda-function-d0b69a1389f5,UseCase,Enterprise Integration
lambda-function-d0b69a1389f5,BackupFrequency,hourly
lambda-function-d0b69a1389f5,Version,3.0
lambda-function-d0b69a1389f5,DataClassification,restricted
lambda-function-d0b69a1389f5,Requestor,john.doe@example.com
lambda-function-d0b69a1389f5,Compliance:GDPR,in-scope
lambda-function-d0b69a1389f5,ManagedBy,DevOps
lambda-function-d0b69a1389f5,ScheduledDowntime,never
lambda-function-d0b69a1389f5,EventSource,api
lambda-function-d0b69a1389f5,ServiceTier,lambda-standard
lambda-function-d0b69a1389f5,Team,DataEngineering
lambda-function-d0b69a1389f5,CostAllocation,Direct
lambda-function-d0b69a1389f5,ChargebackEntity,Pharma
lambda-function-d0b69a1389f5,ShowbackCategory,Production
lambda-function-812ef7f5de85,Name,HealthcareDataInteroperabilityHub-Lambda
lambda-function-812ef7f5de85,Project,HealthcareDataInteroperabilityHub
lambda-function-812ef7f5de85,BusinessUnit,Pharma
lambda-function-812ef7f5de85,Environment,Production
lambda-function-812ef7f5de85,CostCenter,Pharma-7242
lambda-function-812ef7f5de85,UseCase,Enterprise Integration
lambda-function-812ef7f5de85,BackupFrequency,none
lambda-function-812ef7f5de85,Version,2.0
lambda-function-812ef7f5de85,Requestor,product-team@example.com
lambda-function-812ef7f5de85,ComplianceStatus,exempted
lambda-function-812ef7f5de85,AutoScaling,enabled
lambda-function-812ef7f5de85,OptimizationPriority,cost
lambda-function-812ef7f5de85,AllowSpotInstance,false
lambda-function-812ef7f5de85,Runtime,go1.x
lambda-function-812ef7f5de85,EventSource,sqs
lambda-function-812ef7f5de85,Timeout,300
lambda-function-812ef7f5de85,MemorySize,2048
lambda-function-812ef7f5de85,ServiceTier,lambda-premium
lambda-function-812ef7f5de85,CostAllocation,Direct
lambda-function-812ef7f5de85,ChargebackEntity,Pharma
lambda-function-812ef7f5de85,ShowbackCategory,Production
lambda-function-bb35c571c5a2,Name,HealthcareDataInteroperabilityHub-Lambda
lambda-function-bb35c571c5a2,Project,HealthcareDataInteroperabilityHub
lambda-function-bb35c571c5a2,BusinessUnit,Pharma
lambda-function-bb35c571c5a2,Environment,Production
lambda-function-bb35c571c5a2,CostCenter,Pharma-2622
lambda-function-bb35c571c5a2,UseCase,Enterprise Integration
lambda-function-bb35c571c5a2,Version,latest
lambda-function-bb35c571c5a2,Department,Operations
lambda-function-bb35c571c5a2,Compliance:SOX,out-of-scope
lambda-function-bb35c571c5a2,Compliance:HIPAA,not-required
lambda-function-bb35c571c5a2,CreatedBy,Console
lambda-function-bb35c571c5a2,BudgetAlert,exempt
lambda-function-bb35c571c5a2,OptimizationPriority,cost
lambda-function-bb35c571c5a2,AllowSpotInstance,true
lambda-function-bb35c571c5a2,Runtime,java11
lambda-function-bb35c571c5a2,ServiceTier,lambda-premium
lambda-function-bb35c571c5a2,CostAllocation,Direct
lambda-function-bb35c571c5a2,ChargebackEntity,Pharma
lambda-function-bb35c571c5a2,ShowbackCategory,Production
ecs-resource-17b57a72,Name,HealthcareDataInteroperabilityHub-ECS
ecs-resource-17b57a72,Project,HealthcareDataInteroperabilityHub
ecs-resource-17b57a72,BusinessUnit,Pharma
ecs-resource-17b57a72,Environment,Production
ecs-resource-17b57a72,CostCenter,Pharma-8267
ecs-resource-17b57a72,UseCase,Enterprise Integration
ecs-resource-17b57a72,SecurityLevel,high
ecs-resource-17b57a72,ComplianceStatus,under-review
ecs-resource-17b57a72,DeploymentGroup,experiment
ecs-resource-17b57a72,BudgetAlert,exempt
ecs-resource-17b57a72,ServiceTier,ecs-enterprise
ecs-resource-17b57a72,Team,Platform
ecs-resource-17b57a72,CostAllocation,Direct
ecs-resource-17b57a72,ChargebackEntity,Pharma
ecs-resource-17b57a72,ShowbackCategory,Production
ecs-resource-5713576a,Name,HealthcareDataInteroperabilityHub-ECS
ecs-resource-5713576a,Project,HealthcareDataInteroperabilityHub
ecs-resource-5713576a,BusinessUnit,Pharma
ecs-resource-5713576a,Environment,Production
ecs-resource-5713576a,CostCenter,Pharma-4522
ecs-resource-5713576a,UseCase,Enterprise Integration
ecs-resource-5713576a,AutoShutdown,nights
ecs-resource-5713576a,DataClassification,public
ecs-resource-5713576a,Department,Finance
ecs-resource-5713576a,ComplianceStatus,exempted
ecs-resource-5713576a,IaC,false
ecs-resource-5713576a,ManagedBy,CloudOps
ecs-resource-5713576a,AllowSpotInstance,true
ecs-resource-5713576a,Rightsizing,exempt
ecs-resource-5713576a,ServiceTier,ecs-basic
ecs-resource-5713576a,CostAllocation,Direct
ecs-resource-5713576a,ChargebackEntity,Pharma
ecs-resource-5713576a,ShowbackCategory,Production
ecs-resource-3242be03,Name,HealthcareDataInteroperabilityHub-ECS
ecs-resource-3242be03,Project,HealthcareDataInteroperabilityHub
ecs-resource-3242be03,BusinessUnit,Pharma
ecs-resource-3242be03,Environment,Production
ecs-resource-3242be03,CostCenter,Pharma-1982
ecs-resource-3242be03,UseCase,Enterprise Integration
ecs-resource-3242be03,Version,3.0
ecs-resource-3242be03,AutoShutdown,weekends
ecs-resource-3242be03,SecurityLevel,medium
ecs-resource-3242be03,ComplianceStatus,under-review
ecs-resource-3242be03,Compliance:PCI,in-scope
ecs-resource-3242be03,CreatedBy,Ansible
ecs-resource-3242be03,Rightsizing,optimized
ecs-resource-3242be03,BudgetAlert,high
ecs-resource-3242be03,ServiceTier,ecs-enterprise
ecs-resource-3242be03,CostAllocation,Direct
ecs-resource-3242be03,ChargebackEntity,Pharma
ecs-resource-3242be03,ShowbackCategory,Production
kms-resource-eb20a535,Name,HealthcareDataInteroperabilityHub-KMS
kms-resource-eb20a535,Project,HealthcareDataInteroperabilityHub
kms-resource-eb20a535,BusinessUnit,Pharma
kms-resource-eb20a535,Environment,Production
kms-resource-eb20a535,CostCenter,Pharma-1307
kms-resource-eb20a535,UseCase,Enterprise Integration
kms-resource-eb20a535,AutoShutdown,weekends
kms-resource-eb20a535,DataClassification,public
kms-resource-eb20a535,Department,IT
kms-resource-eb20a535,Compliance:SOX,out-of-scope
kms-resource-eb20a535,Compliance:PCI,out-of-scope
kms-resource-eb20a535,CreatedBy,Terraform
kms-resource-eb20a535,AutoScaling,enabled
kms-resource-eb20a535,ScheduledDowntime,weekends
kms-resource-eb20a535,Rightsizing,exempt
kms-resource-eb20a535,BudgetAlert,high
kms-resource-eb20a535,ServiceTier,kms-premium
kms-resource-eb20a535,Team,Infrastructure
kms-resource-eb20a535,CostAllocation,Shared
kms-resource-eb20a535,AllocationMethod,equal
kms-resource-eb20a535,ChargebackEntity,Pharma
kms-resource-eb20a535,ShowbackCategory,Production
kms-resource-4e988822,Name,HealthcareDataInteroperabilityHub-KMS
kms-resource-4e988822,Project,HealthcareDataInteroperabilityHub
kms-resource-4e988822,BusinessUnit,Pharma
kms-resource-4e988822,Environment,Production
kms-resource-4e988822,CostCenter,Pharma-2251
kms-resource-4e988822,UseCase,Enterprise Integration
kms-resource-4e988822,Version,1.0
kms-resource-4e988822,BackupFrequency,hourly
kms-resource-4e988822,Compliance:PCI,in-scope
kms-resource-4e988822,ComplianceStatus,non-compliant
kms-resource-4e988822,SecurityLevel,critical
kms-resource-4e988822,AutoScaling,disabled
kms-resource-4e988822,Rightsizing,oversized
kms-resource-4e988822,BudgetAlert,medium
kms-resource-4e988822,ServiceTier,kms-enterprise
kms-resource-4e988822,Team,DataEngineering
kms-resource-4e988822,CostAllocation,Shared
kms-resource-4e988822,AllocationMethod,equal
kms-resource-4e988822,ChargebackEntity,Pharma
kms-resource-4e988822,ShowbackCategory,Production
kms-resource-157eed6f,Name,HealthcareDataInteroperabilityHub-KMS
kms-resource-157eed6f,Project,HealthcareDataInteroperabilityHub
kms-resource-157eed6f,BusinessUnit,Pharma
kms-resource-157eed6f,Environment,Production
kms-resource-157eed6f,CostCenter,Pharma-5500
kms-resource-157eed6f,UseCase,Enterprise Integration
kms-resource-157eed6f,AutoShutdown,true
kms-resource-157eed6f,DataClassification,confidential
kms-resource-157eed6f,Compliance:HIPAA,not-required
kms-resource-157eed6f,ComplianceStatus,under-review
kms-resource-157eed6f,DeploymentGroup,experiment
